Scramble,Scramble Length,Heuristic Type,Heuristic,Wall Time (ns)
B,1,Single L0,0.6666667,27600
F',1,Single L0,0.6666667,20700
L,1,Single L0,0.6666667,20600
B',1,Single L0,0.6666667,30500
F,1,Single L0,0.6666667,30500
L',1,Single L0,0.6666667,30600
D,1,Single L0,0.6666667,30500
L,1,Single L0,0.6666667,30600
R',1,Single L0,0.6666667,30700
U',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20500
D',1,Single L0,0.6666667,20600
R',1,Single L0,0.6666667,20500
B',1,Single L0,0.6666667,20600
L',1,Single L0,0.6666667,20600
L',1,Single L0,0.6666667,28600
U,1,Single L0,0.6666667,24300
L,1,Single L0,0.6666667,23500
D',1,Single L0,0.6666667,23400
U,1,Single L0,0.6666667,23400
R',1,Single L0,0.6666667,23200
R',1,Single L0,0.6666667,23200
F',1,Single L0,0.6666667,20700
L,1,Single L0,0.6666667,20600
D,1,Single L0,0.6666667,28900
U',1,Single L0,0.6666667,31800
B',1,Single L0,0.6666667,20600
U,1,Single L0,0.6666667,20400
B',1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20400
F',1,Single L0,0.6666667,20300
U,1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20300
B',1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20400
L,1,Single L0,0.6666667,20300
R',1,Single L0,0.6666667,20400
F,1,Single L0,0.6666667,20500
L',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20500
L,1,Single L0,0.6666667,20400
L',1,Single L0,0.6666667,20600
U',1,Single L0,0.6666667,30400
L',1,Single L0,0.6666667,30500
F',1,Single L0,0.6666667,30700
F,1,Single L0,0.6666667,30600
F,1,Single L0,0.6666667,30400
D,1,Single L0,0.6666667,30600
B,1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,22100
B,1,Single L0,0.6666667,20400
U,1,Single L0,0.6666667,20300
F,1,Single L0,0.6666667,20400
B,1,Single L0,0.6666667,20300
B,1,Single L0,0.6666667,20300
F',1,Single L0,0.6666667,20400
R,1,Single L0,0.6666667,20300
