Scramble,Scramble Length,Solution,Solution Length,Heuristic Type,Wall Time (ns),Node Visited
R',1,R,1,Single L0,466600,7
U,1,U',1,Single L0,317300,4
R,1,R',1,Single L0,383100,6
U',1,U,1,Single L0,392000,5
F',1,F,1,Single L0,270400,3
L',1,R,1,Single L0,3051000,39
U',1,U,1,Single L0,355200,5
B',1,F,1,Single L0,1255300,15
L,1,R',1,Single L0,1756200,33
B',1,F,1,Single L0,919000,15
F' L,2,R' U,2,Single L0,10480700,209
R' L,2,,0,Single L0,35200,1
D R,2,R' U',2,Single L0,10492200,213
D' D',2,U' U',2,Single L0,7698300,146
R B',2,F U',2,Single L0,5325000,94
U' D',2,U' U',2,Single L0,6292800,126
R B',2,F U',2,Single L0,4832400,94
L D',2,U F',2,Single L0,7293200,145
F' F',2,F' F',2,Single L0,822800,10
F R,2,R' F',2,Single L0,776400,12
D L' D,3,U' F U',3,Single L0,28659300,589
B' D' L,3,R' F R,3,Single L0,44762800,914
L D' F,3,F' U F',3,Single L0,15262000,307
D' U F',3,F,1,Single L0,924700,15
L F' D',3,U R U',3,Single L0,42951800,889
F R' U',3,U R F',3,Single L0,2077300,38
D L D,3,U' F' U',3,Single L0,27618200,558
F B' D,3,U',1,Single L0,1429500,26
D' D' B',3,F R' R',3,Single L0,24984700,508
B D R',3,R U' R',3,Single L0,54025900,1100
U L B L',4,R U' F' R',4,Single L0,272139800,5568
R' F B' B',4,F R,2,Single L0,5913000,107
F F F D',4,U R,2,Single L0,9122000,174
U R' R' U',4,U R' R' U',4,Single L0,9202600,186
D' U D' D',4,U' U',2,Single L0,6636500,131
B' U R L,4,R' R' F' U,4,Single L0,241443600,4968
U' R F' L,4,R' U F' R,4,Single L0,234358600,4874
B L' D F',4,F U' F R',4,Single L0,105736600,2159
L F B' L,4,R' F',2,Single L0,8476200,171
D' U' R L,4,R' R' F' F',4,Single L0,238245200,4941
R',1,R,1,All L0,3594100,7
L,1,R',1,All L0,12700000,33
D,1,U',1,All L0,8540300,21
L',1,R,1,All L0,15654400,39
B,1,F',1,All L0,4543100,9
U',1,U,1,All L0,2534200,5
U',1,U,1,All L0,2563900,5
B',1,F,1,All L0,7012400,15
L,1,R',1,All L0,12540900,33
B',1,F,1,All L0,6546500,15
R' L',2,R' R',2,All L0,65846700,205
L' B,2,F' U,2,All L0,21292200,59
L' F,2,F' R,2,All L0,28878500,86
U' D',2,U' U',2,All L0,41161000,126
L D,2,U' F',2,All L0,36258400,109
B' R,2,R' F,2,All L0,61491700,192
R' B,2,F' U,2,All L0,22370100,64
F' B',2,F' F',2,All L0,18827100,52
R R,2,R' R',2,All L0,8196500,18
R D,2,U' F',2,All L0,39281600,119
R U D',3,F',1,All L0,4559600,9
L' F' U',3,U F R,3,All L0,248770900,808
F R' B',3,F U R',3,All L0,147041800,476
R' L' R,3,R,1,All L0,14640600,39
B U' F,3,F' U F',3,All L0,98451900,312
D B F,3,F' F' R',3,All L0,80169800,253
L D U,3,U' U' F',3,All L0,188980700,609
R F' L,3,R' U F',3,All L0,301879600,987
L' R' R',3,R',1,All L0,12959900,33
R' F B,3,F' F' U,3,All L0,80321700,252
L B L' U,4,U' R U' F',4,All L0,1064015200,3536
L D' U R,4,R' F',2,All L0,58364400,181
B' U R' D,4,U' F R' U,4,All L0,911344500,3017
R' U D' B',4,F' F',2,All L0,17523200,47
R D' R' B',4,F U F R',4,All L0,704177200,2325
U' R R L',4,R' F,2,All L0,57423000,177
F U B' U',4,U F R' F',4,All L0,1154813900,3850
R D' F L',4,R U' F R',4,All L0,1652729700,5464
U B B R,4,R' F' F' U',4,All L0,1301059100,4328
F U R F,4,F' R' U' F',4,All L0,30532300,89
R',1,R,1,Single L0,456100,7
L,1,R',1,Single L0,2216000,40
F',1,F,1,Single L0,290700,3
F',1,F,1,Single L0,272500,3
R,1,R',1,Single L0,379000,6
B,1,F',1,Single L0,1059600,16
B,1,F',1,Single L0,1054500,16
R,1,R',1,Single L0,379500,6
L',1,R,1,Single L0,2441400,46
L,1,R',1,Single L0,2170100,40
U L,2,R' F',2,Single L0,10687200,216
B' U,2,U' F,2,Single L0,6728400,135
L U',2,U R',2,Single L0,9548500,193
D B,2,F' R',2,Single L0,3506900,65
R L',2,,0,Single L0,32600,1
R' U,2,U' R,2,Single L0,544100,9
L' R,2,,0,Single L0,32000,1
U' U',2,U' U',2,Single L0,937600,14
U L',2,R F',2,Single L0,10951800,222
U R,2,R' U',2,Single L0,804800,14
D L U',3,U R' F',3,Single L0,39171800,816
D B' L,3,R' U F',3,Single L0,46041900,957
R' F L,3,R' U' F,3,Single L0,45479600,942
D U R,3,R' U' U',3,Single L0,48131500,998
F' D' L',3,R F U,3,Single L0,52071000,1078
U' D R',3,R,1,Single L0,2235200,44
B' L' B',3,F U F,3,Single L0,22963800,464
R B' F,3,U',1,Single L0,1429300,26
R L D',3,U F' F',3,Single L0,34503300,708
U' L L,3,R' R' U,3,Single L0,49179800,1016
D B' U B',4,F R' F U',4,Single L0,120653700,2464
D D L R',4,F' F',2,Single L0,3429900,47
R F R U,4,U' R' F' R',4,Single L0,7988100,162
R R B' R,4,R' F U' U',4,Single L0,215840000,4566
R U U B',4,F R' R' U',4,Single L0,124468800,2598
R D' R F',4,F R' U F',4,Single L0,124033600,2625
F' U' L D,4,U' F' U R,4,Single L0,137247300,2866
F L' F D,4,U' R' F R',4,Single L0,160986100,3302
D' B R' B,4,F' U F' U,4,Single L0,73835900,1522
B F D' B',4,F R U' U',4,Single L0,135894700,2852
F',1,F,1,All L0,1498100,3
U',1,U,1,All L0,2582600,5
B',1,F,1,All L0,10113300,22
U',1,U,1,All L0,2531400,5
D,1,U',1,All L0,12146300,28
D,1,U',1,All L0,12188600,28
B',1,F,1,All L0,10131500,22
L,1,R',1,All L0,16320900,40
L,1,R',1,All L0,16287600,40
L,1,R',1,All L0,16266800,40
L' B',2,F U,2,All L0,30373800,90
L R,2,R' R',2,All L0,64869600,205
B D',2,U R',2,All L0,52658900,163
R' F,2,F' R,2,All L0,3075200,7
D' F',2,F U,2,All L0,34507900,105
R D,2,U' F',2,All L0,38936500,119
B' R',2,R F,2,All L0,77998300,243
L' R',2,R' R',2,All L0,66100200,205
R B',2,F U',2,All L0,31637700,94
R F,2,F' R',2,All L0,2200200,6
U' D' U',3,U',1,All L0,8695500,21
L D' U',3,U' U' F',3,All L0,189475400,609
D U' L',3,R,1,All L0,15186000,39
L U R,3,R' U' R',3,All L0,290793700,959
F' U' F,3,F' U F,3,All L0,15504200,41
U B B,3,F' F' U',3,All L0,78983400,251
B D R,3,R' U' R',3,All L0,289766200,954
L' F' B',3,F' F' U,3,All L0,79309900,247
R' L' B,3,F' U' U',3,All L0,87338300,278
B' L B,3,F' U' R,3,All L0,101949100,322
D' F' U D',4,R F,2,All L0,67544400,213
D' R' D' R',4,R U F U,4,All L0,1715498800,5719
L B' B' L,4,R' U' U' R',4,All L0,1439362900,4804
U B' R' D,4,U' F U R',4,All L0,895275500,2981
R R U' L,4,R' F R' R',4,All L0,1387490300,4630
U' B' L' D,4,U' F R F,4,All L0,912418000,3031
R' F R F,4,F' R' F' R,4,All L0,39275600,121
F U B' B',4,F' F' U' R',4,All L0,377232500,1252
B F' R U',4,U R',2,All L0,52292500,163
D' B' U' B,4,F' R U F,4,All L0,575847200,1921
D,1,U',1,Single L0,1289100,21
L,1,R',1,Single L0,1781200,33
F',1,F,1,Single L0,272300,3
B,1,F',1,Single L0,681000,9
B',1,F,1,Single L0,928000,15
